Accession	Taxonomy
X65163.1	E.histolytica_rRNA
LC230013.1	Endolimax_sp._TDP-2_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-2,_clone:_3
LC230011.1	Endolimax_sp._TDP-2_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-2,_clone:_1
LC230012.1	Endolimax_sp._TDP-2_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-2,_clone:_2
LC230014.1	Endolimax_sp._TDP-2_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-2,_clone:_4
LC230015.1	Endolimax_sp._TDP-2_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-2,_clone:_5
AB749446.1	Entamoeba_nuttalli_genes_for_18S_rRNA,_ITS,_5.8S_rRNA,_ITS2,_28S_rRNA,_complete_and_partial_sequence,_strain:_LH4
AB485592.1	Entamoeba_nuttalli_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence,_strain:_NASA6
AB749447.1	Entamoeba_nuttalli_genes_for_18S_rRNA,_ITS,_5.8S_rRNA,_ITS2,_28S_rRNA,_complete_and_partial_sequence,_strain:_GY4
AB720830.1	Entamoeba_nuttalli_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence,_strain:_NMP9
LC042219.1	Entamoeba_nuttalli_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence,_isolate:_SSS212
AB282661.1	Entamoeba_dispar_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence
AB282658.1	Entamoeba_histolytica_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence,_strain:_HK-9
AB282659.1	Entamoeba_histolytica_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence,_strain:_Rahman
AB282660.1	Entamoeba_histolytica_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence,_strain:_NOT-12
AB282657.1	Entamoeba_nuttalli_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_complete_sequence
LC041205.1	Entamoeba_nuttalli_genes_for_18S_rRNA,_ITS1,_5.8S_rRNA,_ITS2,_28S_rRNA,_complete_and_partial_sequence,_strain:_EM50
X75434.1	E.histolytica_extrachromosomal_18S_rRNA_gene_(partial)
AB445018.1	Entamoeba_muris_gene_for_18S_ribosomal_RNA,_complete_sequence
AB444953.1	Entamoeba_coli_gene_for_18S_ribosomal_RNA,_complete_sequence
FR686364.1	Entamoeba_coli_partial_18S_rRNA_gene,_isolate_S2702
FR686360.1	Entamoeba_sp._RL7_partial_18S_rRNA_gene,_isolate_09/1246
LC031816.1	Entamoeba_marina_SRT209_gene_for_18S_ribosomal_RNA,_partial_sequence
FR686365.1	Entamoeba_sp._RL5_partial_18S_rRNA_gene,_isolate_Oedla
AY769863.1	Entamoeba_invadens_18S_ribosomal_RNA_gene,_complete_sequence
LC230019.1	Entamoeba_suis_gene_for_18S_ribosomal_RNA,_partial_sequence,_strain:_TDP-4
AB426549.1	Entamoeba_histolytica_gene_for_18S_ribosomal_RNA,_complete_sequence
FR686358.1	Entamoeba_sp._RL3_partial_18S_rRNA_gene,_isolate_Hulman
KR025413.1	Entamoeba_invadens_strain_VK-1_18S_ribosomal_RNA_gene,_partial_sequence
KR025411.1	Entamoeba_bangladeshi_strain_8111_18S_ribosomal_RNA_gene,_partial_sequence
KR025408.1	Entamoeba_sp._RL10_isolate_Yin_18S_ribosomal_RNA_gene,_partial_sequence
FN666248.1	Entamoeba_bovis_18S_rRNA_gene,_isolate_Cow349
FN666249.1	Entamoeba_bovis_18S_rRNA_gene,_isolate_Cow351
FN666250.1	Entamoeba_bovis_18S_rRNA_gene,_isolate_Sheep310
FN666251.1	Entamoeba_bovis_18S_rRNA_gene,_isolate_Sheep297
FN666252.1	Entamoeba_bovis_18S_rRNA_gene,_isolate_Reindeer100
KR025412.1	Entamoeba_bangladeshi_strain_8237_18S_ribosomal_RNA_gene,_partial_sequence
KY012748.1	Entamoeba_cf._bovis_clone_En18SNo5_18S_ribosomal_RNA_gene,_partial_sequence
KY012746.1	Entamoeba_cf._bovis_clone_En18SNo1_18S_ribosomal_RNA_gene,_partial_sequence
KY012747.1	Entamoeba_cf._bovis_clone_En18SNo4_18S_ribosomal_RNA_gene,_partial_sequence
FN666253.1	Entamoeba_sp._CS-2010_18S_rRNA_gene,_isolate_Roedeer352
MH890608.1	Entamoeba_sp._isolate_CL141CL142_small_subunit_ribosomal_RNA_gene,_complete_sequence
FR686356.2	Entamoeba_nuttalli_partial_18S_rRNA_gene,_isolate_360
KX618191.1	Entamoeba_hartmanni_18S_small_subunit_ribosomal_RNA_gene,_partial_sequence
FR686374.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM042
FR686379.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM061a
FR686377.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM059
FR686378.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM060
FR686376.1	Entamoeba_hartmanni_partial_18S_rRNA_gene,_isolate_EM046
MH890609.1	Entamoeba_ranarum_isolate_4813_small_subunit_ribosomal_RNA_gene,_complete_sequence
FR686361.1	Entamoeba_sp._RL4_partial_18S_rRNA_gene,_isolate_CO4
LC259410.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-3
FR686359.1	Entamoeba_sp._RL3_partial_18S_rRNA_gene,_isolate_09/1247
LC259420.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_50-4
FR686362.1	Entamoeba_sp._RL2_partial_18S_rRNA_gene,_isolate_Cow349.2
LC259411.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-4
LC259412.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-13
LC259413.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-14
LC259418.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_49-19
LC259431.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_62-11
LC259425.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_57-3
FR686363.1	Entamoeba_sp._RL2_partial_18S_rRNA_gene,_isolate_Cow350
LC259426.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_57-5
LC259378.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_06-2
LC259419.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_50-2
LC259421.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_50-11
LC259422.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_50-12
LC259423.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_50-19
LC259424.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_57-2
LC259401.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_33-1
LC259402.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_33-3
LC259403.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_33-4
LC259359.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Go_08-1
GQ423748.1	Entamoeba_histolytica_isolate_RY1106_18S_ribosomal_RNA_gene,_partial_sequence
GQ423750.1	Entamoeba_histolytica_isolate_RY1097_18S_ribosomal_RNA_gene,_partial_sequence
FR686357.1	Entamoeba_polecki_partial_18S_rRNA_gene,_isolate_J69
GQ423749.1	Entamoeba_histolytica_isolate_RY0156_18S_ribosomal_RNA_gene,_partial_sequence
LC259384.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_10-4
LC259439.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_64-1
LC259440.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_64-2
LC259441.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_64-3
LC259442.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_64-4
LC259374.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_03-1
LC259375.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_03-3
LC259376.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_03-4
LC259380.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_08-1
LC259381.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_08-2
LC259382.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_08-3
LC259383.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_08-4
LC259389.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_19-1
LC259390.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_19-2
LC259391.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_19-3
LC259430.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_62-3
LC259435.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_62-19
LC259392.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_21-2
LC259393.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_22-3
LC259436.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_63-2
LC259437.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_63-3
LC259444.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_80-1
LC259446.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_80-3
LC259447.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_80-4
LC259404.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_39-1
LC259320.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_09-3
LC259321.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_10-1
LC259385.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_14-4
LC259386.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_14-6
LC259394.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_22-4
LC259405.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_39-5
LC259445.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Pa_80-2
LC259331.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_14-1
LC259347.1	Uncultured_Entamoeba_gene_for_18S_rRNA,_partial_sequence,_clone:_Bd_20-2
